type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
measure,0,CollarCircumference,True,34.3,,,
measure,1,NeckCircumference,True,40.41,,,
measure,2,BackShoulderWidth,True,41.39,,,
measure,3,ShoulderLengthLeft,True,10.96,,,
measure,4,ShoulderLengthRight,True,11.45,,,
measure,5,ShoulderSlopeLeft,True,20.68,,,
measure,6,ShoulderSlopeRight,True,21.84,,,
measure,7,OverArmCircumference,True,115.05,,,
measure,8,ChestCircumference,True,95.48,,,
measure,9,BustGirthWithDrop,True,90.97,,,
measure,10,UnderbustCircumference,True,81.86,,,
measure,11,BustToBustLength,True,15.23,,,
measure,12,SideNecktoBustlengthLeft,True,26.01,,,
measure,13,SideNecktoBustlengthRight,True,25.77,,,
measure,14,ArmCircumferenceLeft,True,48.03,,,
measure,15,ArmCircumferenceRight,True,49.17,,,
measure,16,ArmLengthLeft,True,57.91,,,
measure,17,ArmLengthRight,True,56.14,,,
measure,18,ArmUnderLengthLeft,True,42.29,,,
measure,19,ArmUnderLengthRight,True,42.05,,,
measure,20,SleeveLengthLeft,True,74.3,,,
measure,21,SleeveLengthRight,True,73.97,,,
measure,22,WaistCircumference,True,86.62,,,
measure,23,WaistHeight,True,101.18,,,
measure,24,HorizontalWaist,True,84.92,,,
measure,25,PantsWaist,True,90.29,,,
measure,26,NarrowWaist,True,75.88,,,
measure,27,LowRiseWaist,False,0.0,,,
measure,28,ElbowWaist,True,76.28,,,
measure,29,Stomach_FPCircumference,True,83.2,,,
measure,30,Stomach_MaxCircumference,True,84.39,,,
measure,31,AbdomenCircumference,True,92.35,,,
measure,32,AbdomenHeight,True,90.16,,,
measure,33,AbdomenRise,True,16.22,,,
measure,34,HipCircumference,True,102.38,,,
measure,35,SeatCircumference,True,100.21,,,
measure,36,CrotchHeight,True,73.98,,,
measure,37,CrotchLengthFull,True,72.87,,,
measure,38,FrontVerticalRise,True,26.8,,,
measure,39,SeatFoldHeight,True,74.67,,,
measure,40,InseamLeft,True,74.61,,,
measure,41,InseamRight,True,74.84,,,
measure,42,OutsideLegLengthLeft,True,101.94,,,
measure,43,OutsideLegLengthRight,True,102.23,,,
measure,44,ThighCircumferenceLeft,True,59.45,,,
measure,45,ThighCircumferenceRight,True,60.4,,,
measure,46,MidThighCircumferenceLeft,True,48.78,,,
measure,47,MidThighCircumferenceRight,True,49.01,,,
measure,48,KneeCircumferenceLeft,True,37.97,,,
measure,49,KneeCircumferenceRight,True,38.05,,,
measure,50,UnderKneeCircumferenceLeft,True,35.27,,,
measure,51,UnderKneeCircumferenceRight,True,35.52,,,
measure,52,UnderKneeHeightLeft,True,39.33,,,
measure,53,UnderKneeHeightRight,True,39.37,,,
measure,54,CalfCircumferenceLeft,True,37.18,,,
measure,55,CalfCircumferenceRight,True,37.46,,,
measure,56,MinLowerLegGirthLeft,True,23.0,,,
measure,57,MinLowerLegGirthRight,True,23.45,,,
measure,58,FootLengthLeft,True,24.32,,,
measure,59,FootLengthRight,True,24.77,,,
measure,60,SurfaceAreaTotal,True,17022.18,,,
measure,61,SurfaceAreaLegLeft,True,4114.01,,,
measure,62,SurfaceAreaLegRight,True,4278.88,,,
measure,63,SurfaceAreaArmLeft,True,1583.19,,,
measure,64,SurfaceAreaArmRight,True,1503.48,,,
measure,65,SurfaceAreaTorso,True,5488.76,,,
measure,66,TotalVolume,True,65145.34,,,
measure,67,LegVolumeLeft,True,9358.49,,,
measure,68,LegVolumeRight,True,9527.91,,,
measure,69,TorsoVolume,True,39256.13,,,
measure,70,ArmVolumeLeft,True,3580.81,,,
measure,71,ArmVolumeRight,True,3369.92,,,
measure,72,ChestCircumTapeMeasure,True,95.05,,,
measure,73,OverArmCircumTapeMeasure,True,113.2,,,
measure,74,BustGirthWithDropTapeMeasure,True,90.61,,,
measure,75,UnderbustCircumTapeMeasure,True,82.02,,,
measure,76,WaistCircumTapeMeasure,True,86.6,,,
measure,77,HorizWaistCircumTapeMeasure,True,84.83,,,
measure,78,PantsWaistTapeMeasure,True,90.39,,,
measure,79,NarrowWaistTapeMeasure,True,75.72,,,
measure,80,LowRiseWaistTapeMeasure,False,0.0,,,
measure,81,ElbowWaistTapeMeasure,True,76.12,,,
measure,82,Stomach_FP_TapeMeasure,True,82.92,,,
measure,83,Stomach_Max_TapeMeasure,True,84.55,,,
measure,84,AbdomenCircumTapeMeasure,True,92.28,,,
measure,85,HipCircumTapeMeasure,True,102.38,,,
measure,86,SeatCircumTapeMeasure,True,100.12,,,
measure,87,AcrossChestTapeMeasure,True,42.8,,,
measure,88,AcrossBackTapeMeasure,True,34.25,,,
measure,89,BicepCircumferenceLeft,True,30.21,,,
measure,90,BicepCircumferenceRight,True,29.65,,,
measure,91,AnkleCircumferenceLeft,True,23.24,,,
measure,92,AnkleCircumferenceRight,True,23.76,,,
measure,93,WristCircumferenceLeft,True,15.34,,,
measure,94,WristCircumferenceRight,True,15.95,,,
measure,95,HalfBackCenterTapeMeasure,True,38.81,,,
measure,96,FrontJacketTapeMeasure,True,69.96,,,
measure,97,BackNeck2BackChestContourLength,True,22.71,,,
measure,98,BackNeck2BackChestVerticalLength,True,21.47,,,
measure,99,TotalHeight,True,164.1,,,
measure,100,BackNeck2ShoulderBladeTapeMeasure,True,19.02,,,
measure,101,CenterTrunkLength,True,147.75,,,
measure,102,CenterTrunkLengthTapeMeasure,True,138.94,,,
measure,103,SideNeckTrunkCir,True,158.09,,,
measure,104,SideNeckTrunkCirTapeMeasure,True,155.8,,,
measure,105,OptimizedSmallWaistTape,True,77.45,,,
measure,106,OWaistSmallFrontHeight,True,100.75,,,
measure,107,OWaistSmallBackHeight,True,100.81,,,
measure,108,OWaistSmallLeftHeight,True,100.98,,,
measure,109,OWaistSmallRightHeight,True,101.19,,,
measure,110,OptimizedFormulaWaistTape,True,78.12,,,
measure,111,OWaistFormulaFrontHeight,True,99.05,,,
measure,112,OWaistFormulaBackHeight,True,99.4,,,
measure,113,OWaistFormulaLeftHeight,True,99.13,,,
measure,114,OWaistFormulaRightHeight,True,99.33,,,
measure,115,ForearmCircumferenceLeft,True,25.26,,,
measure,116,ForearmCircumferenceRight,True,25.39,,,
measure,117,FrontHipTapeMeasure,True,49.17,,,
measure,118,FrontWaistTapeMeasure,True,38.68,,,
measure,119,HorizontalWaistHeight,True,95.56,,,
measure,120,MinLowerLegHeightLeft,True,10.79,,,
measure,121,MinLowerLegHeightRight,True,11.1,,,
measure,122,ElbowCircTapeMeasureLeft,True,26.02,,,
measure,123,ElbowCircTapeMeasureRight,True,25.91,,,
measure,124,ElbowHeightLeft,True,102.19,,,
measure,125,ElbowHeightRight,True,100.26,,,
measure,126,ThighHeightLeft,True,68.9,,,
measure,127,ThighHeightRight,True,68.9,,,
measure,128,ChinHeight,True,140.0,,,
measure,129,BustProminenceLeft,True,22.56,,,
measure,130,BustProminenceRight,True,21.94,,,
measure,131,CervicaleToBustPointLeft,True,35.72,,,
measure,132,CervicaleToBustPointRight,True,35.58,,,
measure,133,AxillaChestCircTapeMeasure,True,96.79,,,
measure,134,SideBackWaistToFloorLeft,True,96.75,,,
measure,135,SideBackWaistToFloorRight,True,96.79,,,
measure,136,MidShoulderHeightLeft,True,133.91,,,
measure,137,MidShoulderHeightRight,True,133.71,,,
measure,138,VerticalTrunkCircumferenceLeft,True,154.41,,,
measure,139,VerticalTrunkCircumferenceRight,True,153.88,,,
measure,140,AcrossAxillaChestFrontLength,True,50.73,,,
measure,141,AcrossAxillaChestBackLength,True,45.88,,,
measure,142,HeadCircumference,True,58.37,,,
measure,143,MidShoulderToWaistLengthLeft,True,41.35,,,
measure,144,MidShoulderToWaistLengthRight,True,41.3,,,
measure,145,HingedUpperBustCircumference,True,95.24,,,
measure,146,HingedBustCircumference,True,98.62,,,
measure,147,FrontShoulderWidth,True,36.73,,,
measure,148,WaistAt50,True,78.52,,,
measure,149,HighHip,True,93.75,,,
measure,150,HighHiptoSOBOPTWaist,True,12.51,,,
measure,151,LowHip,True,101.96,,,
measure,152,LowHiptoSOBOPTWaist,True,25.35,,,
measure,153,Hips8InchDown,True,101.59,,,
measure,154,HipsAtCrotchPlus2Inch,True,102.0,,,
measure,155,MidShoulderToBustLeft,True,24.39,,,
measure,156,MidShoulderToBustRight,True,24.27,,,
measure,157,Halter,True,83.63,,,
measure,158,BackShoulderWidth45,True,37.3,,,
measure,159,BackShoulderWidthOverNeck,True,37.6,,,
measure,160,ShoulderArcLeft,True,52.33,,,
measure,161,ShoulderArcRight,True,52.2,,,
measure,162,BackVerticalRise,True,26.75,,,
measure,163,UpperBustFrontLength,True,39.1,,,
measure,164,BustVolumeLeft,True,436.66,,,
measure,165,BustVolumeRight,True,424.67,,,
measure,166,BustSurfaceAreaLeft,True,260.78,,,
measure,167,BustSurfaceAreaRight,True,270.35,,,
measure,168,ShoulderCircumference,True,104.6,,,
measure,169,ShoulderCirHeight,True,126.2,,,
measure,170,ArmCircumferenceOuterLeft,True,45.34,,,
measure,171,ArmCircumferenceOuterRight,True,46.22,,,
measure,172,ActualAnkleCircumferenceLeft,True,23.25,,,
measure,173,ActualAnkleCircumferenceRight,True,23.83,,,
measure,174,ActualKneeCircumferenceLeft,True,38.62,,,
measure,175,ActualKneeCircumferenceRight,True,38.72,,,
measure,176,ActualMidThighCircumferenceLeft,True,49.2,,,
measure,177,ActualMidThighCircumferenceRight,True,49.26,,,
measure,178,AcrossChestArmToArm,True,31.16,,,
measure,179,FrontCrotchLength,True,35.74,,,
measure,180,BackCrotchLength,True,37.09,,,
measure,181,NeckCircumferenceFL,True,11.18,,,
measure,182,NeckCircumferenceFR,True,11.08,,,
measure,183,NeckCircumferenceBL,True,9.32,,,
measure,184,NeckCircumferenceBR,True,9.16,,,
measure,185,ChestCircumTapeMeasureFL,True,25.59,,,
measure,186,ChestCircumTapeMeasureFR,True,25.58,,,
measure,187,ChestCircumTapeMeasureBL,True,21.76,,,
measure,188,ChestCircumTapeMeasureBR,True,21.72,,,
measure,189,BustGirthWithDropTapeMeasureFL,True,25.17,,,
measure,190,BustGirthWithDropTapeMeasureFR,True,24.99,,,
measure,191,BustGirthWithDropTapeMeasureBL,True,20.31,,,
measure,192,BustGirthWithDropTapeMeasureBR,True,19.82,,,
measure,193,UnderbustCircumTapeMeasureFL,True,20.99,,,
measure,194,UnderbustCircumTapeMeasureFR,True,20.99,,,
measure,195,UnderbustCircumTapeMeasureBL,True,19.97,,,
measure,196,UnderbustCircumTapeMeasureBR,True,19.84,,,
measure,197,OptimizedSmallWaistTapeFL,True,19.57,,,
measure,198,OptimizedSmallWaistTapeFR,True,19.45,,,
measure,199,OptimizedSmallWaistTapeBL,True,19.53,,,
measure,200,OptimizedSmallWaistTapeBR,True,18.74,,,
measure,201,OptimizedFormulaWaistTapeFL,True,20.08,,,
measure,202,OptimizedFormulaWaistTapeFR,True,19.82,,,
measure,203,OptimizedFormulaWaistTapeBL,True,19.46,,,
measure,204,OptimizedFormulaWaistTapeBR,True,18.97,,,
measure,205,WaistCircumTapeMeasureFL,True,22.21,,,
measure,206,WaistCircumTapeMeasureFR,True,22.14,,,
measure,207,WaistCircumTapeMeasureBL,True,21.18,,,
measure,208,WaistCircumTapeMeasureBR,True,20.79,,,
measure,209,HipCircumTapeMeasureFL,True,24.39,,,
measure,210,HipCircumTapeMeasureFR,True,24.29,,,
measure,211,HipCircumTapeMeasureBL,True,26.68,,,
measure,212,HipCircumTapeMeasureBR,True,26.62,,,
measure,213,SeatCircumTapeMeasureFL,True,23.09,,,
measure,214,SeatCircumTapeMeasureFR,True,23.08,,,
measure,215,SeatCircumTapeMeasureBL,True,26.82,,,
measure,216,SeatCircumTapeMeasureBR,True,26.52,,,
measure,217,AbdomenCircumTapeMeasureFL,True,21.82,,,
measure,218,AbdomenCircumTapeMeasureFR,True,21.78,,,
measure,219,AbdomenCircumTapeMeasureBL,True,24.24,,,
measure,220,AbdomenCircumTapeMeasureBR,True,24.09,,,
measure,221,Stomach_FP_TapeMeasureFL,True,20.73,,,
measure,222,Stomach_FP_TapeMeasureFR,True,20.64,,,
measure,223,Stomach_FP_TapeMeasureBL,True,20.91,,,
measure,224,Stomach_FP_TapeMeasureBR,True,20.79,,,
measure,225,Stomach_Max_TapeMeasureFL,True,20.51,,,
measure,226,Stomach_Max_TapeMeasureFR,True,20.5,,,
measure,227,Stomach_Max_TapeMeasureBL,True,21.47,,,
measure,228,Stomach_Max_TapeMeasureBR,True,21.27,,,
measure,229,HipWidestTapeMeasureFL,True,24.74,,,
measure,230,HipWidestTapeMeasureFR,True,24.85,,,
measure,231,HipWidestTapeMeasureBL,True,25.95,,,
measure,232,HipWidestTapeMeasureBR,True,25.9,,,
measure,233,HipWidestCircumference,True,101.87,,,
measure,234,UpperArmCircumferenceLeft,True,32.43,,,
measure,235,UpperArmCircumferenceRight,True,32.4,,,
measure,236,WaistAt50_TapeMeasureFL,True,19.52,,,
measure,237,WaistAt50_TapeMeasureFR,True,19.58,,,
measure,238,WaistAt50_TapeMeasureBL,True,19.89,,,
measure,239,WaistAt50_TapeMeasureBR,True,19.47,,,
measure,240,SleeveLengthTapeMeasureLeft,True,77.0,,,
measure,241,SleeveLengthTapeMeasureRight,True,76.61,,,
measure,242,Actual_Weight,False,0.0,,,
measure,243,EstimatedCrotchHeight,True,72.21,,,
measure,244,BodyFatPercent,True,25.17,,,
measure,245,TrouserWaist,True,78.12,,,
measure,246,HighPrecisionChest,True,91.28,,,
measure,247,HighPrecisionSeat,True,102.38,,,
landmark,0,CrotchPoint,True,,-3.5373167313352543,683.8484401850453,-29.778736892311795
landmark,1,NeckFront,True,,1.3758481463589376,1337.1661680133514,20.331493129324105
landmark,2,NeckBack,True,,-13.595883245105876,1395.0493594023042,-77.91761281316012
landmark,3,NeckLeft,True,,39.82485518420149,1376.3944996913212,-65.48663269554247
landmark,4,NeckRight,True,,-71.96166742793471,1356.6434536585211,-67.29796182602063
landmark,5,CollarFront,True,,-7.389785314239752,1379.658965259677,43.624933649453155
landmark,6,CollarBack,True,,-13.724946596801875,1411.311246050399,-75.04093928703301
landmark,7,CollarLeft,True,,47.29244678765236,1401.9321428401327,-11.87348612913262
landmark,8,CollarRight,True,,-62.16640162854733,1395.8472169552417,-23.576628340159193
landmark,9,OverArmFront,True,,12.387561526969622,1208.4586518517171,85.55427285081322
landmark,10,OverArmBack,True,,-8.762931889924156,1243.1736363823356,-115.44918734924264
landmark,11,OverArmLeft,True,,226.99626074547876,1206.7281468770968,-28.73512767861183
landmark,12,OverArmRight,True,,-234.16848391895587,1223.351079123199,-43.035828204819765
landmark,13,ShoulderLeft,True,,167.26167645687832,1312.7577081433988,-28.415985668292173
landmark,14,ShoulderRight,True,,-166.14155611737212,1313.9020101139847,-15.613974433764312
landmark,15,ArmpitLeft,True,,152.57392028765835,1155.5103327370173,-36.18622105156673
landmark,16,ArmpitRight,True,,-175.84931032167282,1198.0150091146575,21.408914631485423
landmark,17,BustFront,True,,-11.582076534449042,1157.228546492093,112.31465243533971
landmark,18,BustBack,True,,-15.087866740011288,1167.7851892979004,-116.75536443676857
landmark,19,BustLeft,True,,152.57392028765835,1155.5103327370173,-36.18622105156673
landmark,20,BustRight,True,,-160.92760539666725,1158.0936294945411,-18.465857655641177
landmark,21,UnderBustFront,True,,-1.6779353506376051,1119.1828938212961,111.87793475068263
landmark,22,UnderBustBack,True,,-5.095969041012862,1144.145617698992,-115.63678906802606
landmark,23,UnderBustLeft,True,,135.4422563839708,1107.2485933403514,5.063427042627601
landmark,24,UnderBustRight,True,,-148.28434191175867,1102.8659010551562,-3.014695044899408
landmark,25,StomachFPFront,True,,1.2546390036842912,1012.9136719216004,113.52042194136868
landmark,26,StomachFPBack,True,,-10.402761567888655,1004.3503134656361,-81.0229044391456
landmark,27,StomachFPLeft,True,,142.99583880371077,945.5612379493159,-8.90277716491096
landmark,28,StomachFPRight,True,,-154.97049536849943,924.7135646163903,-44.289012206402816
landmark,29,StomachMaxFront,True,,6.558733395493506,944.7861747309654,113.65148495240194
landmark,30,StomachMaxBack,True,,-10.183687974850736,964.1701320127581,-104.59414039732418
landmark,31,StomachMaxLeft,True,,144.63230456262315,940.3526106163505,-11.861755650086604
landmark,32,StomachMaxRight,True,,-146.95819097969138,942.6203192117232,12.052734693474768
landmark,33,WaistFront,True,,-16.5656125561277,994.9174374561325,115.05050190905555
landmark,34,WaistBack,True,,-8.999353727543784,1014.6918552080623,-79.84975946103799
landmark,35,WaistLeft,True,,117.56034062210507,1003.4944236887385,-46.97508437137868
landmark,36,WaistRight,True,,-130.24628205679204,1017.3880000511474,25.71751197840114
landmark,37,AbdomenFront,True,,-5.237216674273052,900.7068585185348,109.83233233318997
landmark,38,AbdomenBack,True,,-5.737422090296758,898.1308742522992,-144.36874577290604
landmark,39,AbdomenLeft,True,,155.75521298450275,898.4119803997216,-49.108967063615005
landmark,40,AbdomenRight,True,,-155.3043913545393,898.320069337069,12.57063288339757
landmark,41,HipFront,True,,0.9572178320229832,782.315458924631,71.3954152733309
landmark,42,HipBack,True,,-6.477205415059943,761.6011217559882,-146.50191552822446
landmark,43,HipLeft,True,,181.78955922251194,774.3165315656964,-47.81193774692379
landmark,44,HipRight,True,,-187.06645268376747,763.7347175604594,3.090407502155613
landmark,45,SeatFront,True,,2.7629182962926597,811.2215496011765,85.03114701007607
landmark,46,SeatBack,True,,-6.859586144513009,847.2928509514417,-162.65904084617122
landmark,47,SeatLeft,True,,170.39555022242217,822.5309946474908,-54.16095988853431
landmark,48,SeatRight,True,,-177.68078233399348,821.1083137884655,-51.46693707041091
landmark,49,UpperLeftThighFront,True,,107.21103941381485,684.2161804848685,65.66241041818009
landmark,50,UpperLeftThighBack,True,,84.9204842751459,667.2744028241061,-126.51843047553876
landmark,51,UpperLeftThighLeft,True,,185.94371071898442,666.9408164894505,-52.44736413109715
landmark,52,UpperLeftThighRight,True,,-0.4546657461958974,682.5129500632568,-36.7640846993283
landmark,53,UpperRightThighFront,True,,-99.00290005506888,688.5814426681883,75.51799940743001
landmark,54,UpperRightThighBack,True,,-96.99091957736285,668.8783781197211,-119.16644068764609
landmark,55,UpperRightThighLeft,True,,-9.864484959244061,673.4911002957336,-22.519612355584204
landmark,56,UpperRightThighRight,True,,-189.268870703245,664.3351479132385,-3.1376693217947587
landmark,57,MidLeftThighFront,True,,107.30412366760149,554.816244603242,37.185766882757775
landmark,58,MidLeftThighBack,True,,91.07179498407537,546.5571878020899,-125.70403914255775
landmark,59,MidLeftThighLeft,True,,176.17623524193792,540.2726807278735,-37.700692545221
landmark,60,MidLeftThighRight,True,,33.876306276177125,558.4594032465891,-10.705379676173942
landmark,61,MidRightThighFront,True,,-102.39574443239906,565.3348551690676,48.306600408959916
landmark,62,MidRightThighBack,True,,-120.32196571542046,547.581702641631,-117.21257596605939
landmark,63,MidRightThighLeft,True,,-34.085627358075726,549.6553388673399,-18.66659320201122
landmark,64,MidRightThighRight,True,,-177.40768079177002,543.3303340591946,-14.134052183039465
landmark,65,KneeLeftLegFront,True,,114.69552480746921,431.7300162111621,-5.985578980272038
landmark,66,KneeLeftLegBack,True,,114.25310585924417,404.7651762395083,-128.52254560582654
landmark,67,KneeLeftLegLeft,True,,177.1821363260145,414.49235682416156,-53.14559995729716
landmark,68,KneeLeftLegRight,True,,67.10926835735235,417.08346809924586,-46.6566734539235
landmark,69,KneeRightLegFront,True,,-116.89499000156798,412.19084990947744,-2.8488398459584556
landmark,70,KneeRightLegBack,True,,-137.98184499008553,404.4226436485527,-126.06504422024496
landmark,71,KneeRightLegLeft,True,,-67.53844652872893,417.66690336417366,-44.63582478519126
