type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
measure,0,CollarCircumference,True,38.16,,,
measure,1,NeckCircumference,True,45.29,,,
measure,2,BackShoulderWidth,True,43.9,,,
measure,3,ShoulderLengthLeft,True,12.29,,,
measure,4,ShoulderLengthRight,True,12.29,,,
measure,5,ShoulderSlopeLeft,True,21.81,,,
measure,6,ShoulderSlopeRight,True,22.5,,,
measure,7,OverArmCircumference,True,122.53,,,
measure,8,ChestCircumference,True,103.78,,,
measure,9,BustGirthWithDrop,True,100.3,,,
measure,10,UnderbustCircumference,True,97.14,,,
measure,11,BustToBustLength,True,16.94,,,
measure,12,SideNecktoBustlengthLeft,True,26.49,,,
measure,13,SideNecktoBustlengthRight,True,25.76,,,
measure,14,ArmCircumferenceLeft,True,54.42,,,
measure,15,ArmCircumferenceRight,True,55.57,,,
measure,16,ArmLengthLeft,True,66.87,,,
measure,17,ArmLengthRight,True,64.48,,,
measure,18,ArmUnderLengthLeft,True,48.48,,,
measure,19,ArmUnderLengthRight,True,48.0,,,
measure,20,SleeveLengthLeft,True,83.92,,,
measure,21,SleeveLengthRight,True,83.57,,,
measure,22,WaistCircumference,True,86.08,,,
measure,23,WaistHeight,True,113.17,,,
measure,24,HorizontalWaist,True,85.08,,,
measure,25,PantsWaist,True,90.97,,,
measure,26,NarrowWaist,True,82.69,,,
measure,27,LowRiseWaist,False,0.0,,,
measure,28,ElbowWaist,True,83.01,,,
measure,29,Stomach_FPCircumference,True,84.96,,,
measure,30,Stomach_MaxCircumference,True,86.04,,,
measure,31,AbdomenCircumference,True,92.88,,,
measure,32,AbdomenHeight,True,101.94,,,
measure,33,AbdomenRise,True,17.65,,,
measure,34,HipCircumference,True,101.3,,,
measure,35,SeatCircumference,True,99.34,,,
measure,36,CrotchHeight,True,84.5,,,
measure,37,CrotchLengthFull,True,75.21,,,
measure,38,FrontVerticalRise,True,28.14,,,
measure,39,SeatFoldHeight,True,86.07,,,
measure,40,InseamLeft,True,85.1,,,
measure,41,InseamRight,True,85.31,,,
measure,42,OutsideLegLengthLeft,True,114.01,,,
measure,43,OutsideLegLengthRight,True,114.06,,,
measure,44,ThighCircumferenceLeft,True,56.19,,,
measure,45,ThighCircumferenceRight,True,57.16,,,
measure,46,MidThighCircumferenceLeft,True,45.38,,,
measure,47,MidThighCircumferenceRight,True,45.85,,,
measure,48,KneeCircumferenceLeft,True,37.2,,,
measure,49,KneeCircumferenceRight,True,37.48,,,
measure,50,UnderKneeCircumferenceLeft,True,34.56,,,
measure,51,UnderKneeCircumferenceRight,True,34.77,,,
measure,52,UnderKneeHeightLeft,True,45.35,,,
